"n","true_dist","assumed_dist","selected_count","selected_total","selection_rate","criterion","true_dist_label","assumed_dist_label"
100,"norm","norm",2611,5000,0.5222,"AIC","Normal","Normal"
100,"norm","ged",940,5000,0.188,"AIC","Normal","GED"
100,"norm","sged",928,5000,0.1856,"AIC","Normal","Skewed GED"
100,"norm","std",222,5000,0.0444,"AIC","Normal","Student-t"
100,"norm","sstd",299,5000,0.0598,"AIC","Normal","Skewed Student-t"
100,"ged","norm",2685,5000,0.537,"AIC","GED","Normal"
100,"ged","ged",668,5000,0.1336,"AIC","GED","GED"
100,"ged","sged",688,5000,0.1376,"AIC","GED","Skewed GED"
100,"ged","std",498,5000,0.0996,"AIC","GED","Student-t"
100,"ged","sstd",461,5000,0.0922,"AIC","GED","Skewed Student-t"
100,"sged","norm",207,5000,0.0414,"AIC","Skewed GED","Normal"
100,"sged","ged",81,5000,0.0162,"AIC","Skewed GED","GED"
100,"sged","sged",3131,5000,0.6262,"AIC","Skewed GED","Skewed GED"
100,"sged","std",45,5000,0.009,"AIC","Skewed GED","Student-t"
100,"sged","sstd",1536,5000,0.3072,"AIC","Skewed GED","Skewed Student-t"
100,"std","norm",2561,5000,0.5122,"AIC","Student-t","Normal"
100,"std","ged",571,5000,0.1142,"AIC","Student-t","GED"
100,"std","sged",667,5000,0.1334,"AIC","Student-t","Skewed GED"
100,"std","std",639,5000,0.1278,"AIC","Student-t","Student-t"
100,"std","sstd",562,5000,0.1124,"AIC","Student-t","Skewed Student-t"
100,"sstd","norm",301,5000,0.0602,"AIC","Skewed Student-t","Normal"
100,"sstd","ged",113,5000,0.0226,"AIC","Skewed Student-t","GED"
100,"sstd","sged",2638,5000,0.5276,"AIC","Skewed Student-t","Skewed GED"
100,"sstd","std",59,5000,0.0118,"AIC","Skewed Student-t","Student-t"
100,"sstd","sstd",1889,5000,0.3778,"AIC","Skewed Student-t","Skewed Student-t"
1000,"norm","norm",3880,5000,0.776,"AIC","Normal","Normal"
1000,"norm","ged",584,5000,0.1168,"AIC","Normal","GED"
1000,"norm","sged",367,5000,0.0734,"AIC","Normal","Skewed GED"
1000,"norm","std",107,5000,0.0214,"AIC","Normal","Student-t"
1000,"norm","sstd",62,5000,0.0124,"AIC","Normal","Skewed Student-t"
1000,"ged","norm",23,5000,0.0046,"AIC","GED","Normal"
1000,"ged","ged",3528,5000,0.7056,"AIC","GED","GED"
1000,"ged","sged",692,5000,0.1384,"AIC","GED","Skewed GED"
1000,"ged","std",649,5000,0.1298,"AIC","GED","Student-t"
1000,"ged","sstd",108,5000,0.0216,"AIC","GED","Skewed Student-t"
1000,"sged","norm",0,0,NA,"AIC","Skewed GED","Normal"
1000,"sged","ged",0,0,NA,"AIC","Skewed GED","GED"
1000,"sged","sged",4254,5000,0.8508,"AIC","Skewed GED","Skewed GED"
1000,"sged","std",0,0,NA,"AIC","Skewed GED","Student-t"
1000,"sged","sstd",746,5000,0.1492,"AIC","Skewed GED","Skewed Student-t"
1000,"std","norm",15,5000,0.003,"AIC","Student-t","Normal"
1000,"std","ged",903,5000,0.1806,"AIC","Student-t","GED"
1000,"std","sged",181,5000,0.0362,"AIC","Student-t","Skewed GED"
1000,"std","std",3255,5000,0.651,"AIC","Student-t","Student-t"
1000,"std","sstd",646,5000,0.1292,"AIC","Student-t","Skewed Student-t"
1000,"sstd","norm",0,0,NA,"AIC","Skewed Student-t","Normal"
1000,"sstd","ged",0,0,NA,"AIC","Skewed Student-t","GED"
1000,"sstd","sged",1122,5000,0.2244,"AIC","Skewed Student-t","Skewed GED"
1000,"sstd","std",0,0,NA,"AIC","Skewed Student-t","Student-t"
1000,"sstd","sstd",3878,5000,0.7756,"AIC","Skewed Student-t","Skewed Student-t"
5000,"norm","norm",3841,5000,0.7682,"AIC","Normal","Normal"
5000,"norm","ged",540,5000,0.108,"AIC","Normal","GED"
5000,"norm","sged",375,5000,0.075,"AIC","Normal","Skewed GED"
5000,"norm","std",181,5000,0.0362,"AIC","Normal","Student-t"
5000,"norm","sstd",63,5000,0.0126,"AIC","Normal","Skewed Student-t"
5000,"ged","norm",0,0,NA,"AIC","GED","Normal"
5000,"ged","ged",4161,5000,0.8322,"AIC","GED","GED"
5000,"ged","sged",746,5000,0.1492,"AIC","GED","Skewed GED"
5000,"ged","std",79,5000,0.0158,"AIC","GED","Student-t"
5000,"ged","sstd",14,5000,0.0028,"AIC","GED","Skewed Student-t"
5000,"sged","norm",0,0,NA,"AIC","Skewed GED","Normal"
5000,"sged","ged",0,0,NA,"AIC","Skewed GED","GED"
5000,"sged","sged",4909,5000,0.9818,"AIC","Skewed GED","Skewed GED"
5000,"sged","std",0,0,NA,"AIC","Skewed GED","Student-t"
5000,"sged","sstd",91,5000,0.0182,"AIC","Skewed GED","Skewed Student-t"
5000,"std","norm",0,0,NA,"AIC","Student-t","Normal"
5000,"std","ged",66,5000,0.0132,"AIC","Student-t","GED"
5000,"std","sged",19,5000,0.0038,"AIC","Student-t","Skewed GED"
5000,"std","std",4137,5000,0.8274,"AIC","Student-t","Student-t"
5000,"std","sstd",778,5000,0.1556,"AIC","Student-t","Skewed Student-t"
5000,"sstd","norm",0,0,NA,"AIC","Skewed Student-t","Normal"
5000,"sstd","ged",0,0,NA,"AIC","Skewed Student-t","GED"
5000,"sstd","sged",106,5000,0.0212,"AIC","Skewed Student-t","Skewed GED"
5000,"sstd","std",0,0,NA,"AIC","Skewed Student-t","Student-t"
5000,"sstd","sstd",4894,5000,0.9788,"AIC","Skewed Student-t","Skewed Student-t"
8000,"norm","norm",3882,5000,0.7764,"AIC","Normal","Normal"
8000,"norm","ged",532,5000,0.1064,"AIC","Normal","GED"
8000,"norm","sged",361,5000,0.0722,"AIC","Normal","Skewed GED"
8000,"norm","std",189,5000,0.0378,"AIC","Normal","Student-t"
8000,"norm","sstd",36,5000,0.0072,"AIC","Normal","Skewed Student-t"
8000,"ged","norm",0,0,NA,"AIC","GED","Normal"
8000,"ged","ged",4176,5000,0.8352,"AIC","GED","GED"
8000,"ged","sged",795,5000,0.159,"AIC","GED","Skewed GED"
8000,"ged","std",27,5000,0.0054,"AIC","GED","Student-t"
8000,"ged","sstd",2,5000,4e-04,"AIC","GED","Skewed Student-t"
8000,"sged","norm",0,0,NA,"AIC","Skewed GED","Normal"
8000,"sged","ged",0,0,NA,"AIC","Skewed GED","GED"
8000,"sged","sged",4972,5000,0.9944,"AIC","Skewed GED","Skewed GED"
8000,"sged","std",0,0,NA,"AIC","Skewed GED","Student-t"
8000,"sged","sstd",28,5000,0.0056,"AIC","Skewed GED","Skewed Student-t"
8000,"std","norm",0,0,NA,"AIC","Student-t","Normal"
8000,"std","ged",10,5000,0.002,"AIC","Student-t","GED"
8000,"std","sged",2,5000,4e-04,"AIC","Student-t","Skewed GED"
8000,"std","std",4194,5000,0.8388,"AIC","Student-t","Student-t"
8000,"std","sstd",794,5000,0.1588,"AIC","Student-t","Skewed Student-t"
8000,"sstd","norm",0,0,NA,"AIC","Skewed Student-t","Normal"
8000,"sstd","ged",0,0,NA,"AIC","Skewed Student-t","GED"
8000,"sstd","sged",19,5000,0.0038,"AIC","Skewed Student-t","Skewed GED"
