"n","true_dist","assumed_dist","selected_count","selected_total","selection_rate","criterion","true_dist_label","assumed_dist_label"
500,"norm","norm",744,1000,0.744,"AIC","Normal","Normal"
500,"norm","std",20,1000,0.02,"AIC","Normal","Student-t"
500,"norm","ged",142,1000,0.142,"AIC","Normal","GED"
500,"norm","sstd",18,1000,0.018,"AIC","Normal","Skewed Student-t"
500,"norm","sged",76,1000,0.076,"AIC","Normal","Skewed GED"
500,"std","norm",60,1000,0.06,"AIC","Student-t","Normal"
500,"std","std",504,1000,0.504,"AIC","Student-t","Student-t"
500,"std","ged",247,1000,0.247,"AIC","Student-t","GED"
500,"std","sstd",121,1000,0.121,"AIC","Student-t","Skewed Student-t"
500,"std","sged",68,1000,0.068,"AIC","Student-t","Skewed GED"
500,"ged","norm",74,1000,0.074,"AIC","GED","Normal"
500,"ged","std",162,1000,0.162,"AIC","GED","Student-t"
500,"ged","ged",617,1000,0.617,"AIC","GED","GED"
500,"ged","sstd",31,1000,0.031,"AIC","GED","Skewed Student-t"
500,"ged","sged",116,1000,0.116,"AIC","GED","Skewed GED"
500,"sstd","norm",0,0,NA,"AIC","Skewed Student-t","Normal"
500,"sstd","std",0,0,NA,"AIC","Skewed Student-t","Student-t"
500,"sstd","ged",0,0,NA,"AIC","Skewed Student-t","GED"
500,"sstd","sstd",649,1000,0.649,"AIC","Skewed Student-t","Skewed Student-t"
500,"sstd","sged",351,1000,0.351,"AIC","Skewed Student-t","Skewed GED"
500,"sged","norm",0,0,NA,"AIC","Skewed GED","Normal"
500,"sged","std",0,0,NA,"AIC","Skewed GED","Student-t"
500,"sged","ged",0,0,NA,"AIC","Skewed GED","GED"
500,"sged","sstd",196,1000,0.196,"AIC","Skewed GED","Skewed Student-t"
500,"sged","sged",804,1000,0.804,"AIC","Skewed GED","Skewed GED"
1000,"norm","norm",779,1000,0.779,"AIC","Normal","Normal"
1000,"norm","std",19,1000,0.019,"AIC","Normal","Student-t"
1000,"norm","ged",116,1000,0.116,"AIC","Normal","GED"
1000,"norm","sstd",16,1000,0.016,"AIC","Normal","Skewed Student-t"
1000,"norm","sged",70,1000,0.07,"AIC","Normal","Skewed GED"
1000,"std","norm",5,1000,0.005,"AIC","Student-t","Normal"
1000,"std","std",654,1000,0.654,"AIC","Student-t","Student-t"
1000,"std","ged",187,1000,0.187,"AIC","Student-t","GED"
1000,"std","sstd",113,1000,0.113,"AIC","Student-t","Skewed Student-t"
1000,"std","sged",41,1000,0.041,"AIC","Student-t","Skewed GED"
1000,"ged","norm",4,1000,0.004,"AIC","GED","Normal"
1000,"ged","std",131,1000,0.131,"AIC","GED","Student-t"
1000,"ged","ged",707,1000,0.707,"AIC","GED","GED"
1000,"ged","sstd",28,1000,0.028,"AIC","GED","Skewed Student-t"
1000,"ged","sged",130,1000,0.13,"AIC","GED","Skewed GED"
1000,"sstd","norm",0,0,NA,"AIC","Skewed Student-t","Normal"
1000,"sstd","std",0,0,NA,"AIC","Skewed Student-t","Student-t"
1000,"sstd","ged",0,0,NA,"AIC","Skewed Student-t","GED"
1000,"sstd","sstd",777,1000,0.777,"AIC","Skewed Student-t","Skewed Student-t"
1000,"sstd","sged",223,1000,0.223,"AIC","Skewed Student-t","Skewed GED"
1000,"sged","norm",0,0,NA,"AIC","Skewed GED","Normal"
1000,"sged","std",0,0,NA,"AIC","Skewed GED","Student-t"
1000,"sged","ged",0,0,NA,"AIC","Skewed GED","GED"
1000,"sged","sstd",162,1000,0.162,"AIC","Skewed GED","Skewed Student-t"
1000,"sged","sged",838,1000,0.838,"AIC","Skewed GED","Skewed GED"
2000,"norm","norm",764,1000,0.764,"AIC","Normal","Normal"
2000,"norm","std",30,1000,0.03,"AIC","Normal","Student-t"
2000,"norm","ged",116,1000,0.116,"AIC","Normal","GED"
2000,"norm","sstd",19,1000,0.019,"AIC","Normal","Skewed Student-t"
2000,"norm","sged",71,1000,0.071,"AIC","Normal","Skewed GED"
2000,"std","norm",0,0,NA,"AIC","Student-t","Normal"
2000,"std","std",736,1000,0.736,"AIC","Student-t","Student-t"
2000,"std","ged",103,1000,0.103,"AIC","Student-t","GED"
2000,"std","sstd",134,1000,0.134,"AIC","Student-t","Skewed Student-t"
2000,"std","sged",27,1000,0.027,"AIC","Student-t","Skewed GED"
2000,"ged","norm",0,0,NA,"AIC","GED","Normal"
2000,"ged","std",83,1000,0.083,"AIC","GED","Student-t"
2000,"ged","ged",767,1000,0.767,"AIC","GED","GED"
2000,"ged","sstd",11,1000,0.011,"AIC","GED","Skewed Student-t"
2000,"ged","sged",139,1000,0.139,"AIC","GED","Skewed GED"
2000,"sstd","norm",0,0,NA,"AIC","Skewed Student-t","Normal"
2000,"sstd","std",0,0,NA,"AIC","Skewed Student-t","Student-t"
2000,"sstd","ged",0,0,NA,"AIC","Skewed Student-t","GED"
2000,"sstd","sstd",881,1000,0.881,"AIC","Skewed Student-t","Skewed Student-t"
2000,"sstd","sged",119,1000,0.119,"AIC","Skewed Student-t","Skewed GED"
2000,"sged","norm",0,0,NA,"AIC","Skewed GED","Normal"
2000,"sged","std",0,0,NA,"AIC","Skewed GED","Student-t"
2000,"sged","ged",0,0,NA,"AIC","Skewed GED","GED"
2000,"sged","sstd",77,1000,0.077,"AIC","Skewed GED","Skewed Student-t"
2000,"sged","sged",923,1000,0.923,"AIC","Skewed GED","Skewed GED"
