"n","true_dist","assumed_dist","selected_count","selected_total","selection_rate","criterion","true_dist_label","assumed_dist_label"
500,"norm","norm",980,1000,0.98,"BIC","Normal","Normal"
500,"norm","std",3,1000,0.003,"BIC","Normal","Student-t"
500,"norm","ged",16,1000,0.016,"BIC","Normal","GED"
500,"norm","sstd",1,1000,0.001,"BIC","Normal","Skewed Student-t"
500,"norm","sged",0,0,NA,"BIC","Normal","Skewed GED"
500,"std","norm",256,1000,0.256,"BIC","Student-t","Normal"
500,"std","std",508,1000,0.508,"BIC","Student-t","Student-t"
500,"std","ged",218,1000,0.218,"BIC","Student-t","GED"
500,"std","sstd",11,1000,0.011,"BIC","Student-t","Skewed Student-t"
500,"std","sged",7,1000,0.007,"BIC","Student-t","Skewed GED"
500,"ged","norm",334,1000,0.334,"BIC","GED","Normal"
500,"ged","std",137,1000,0.137,"BIC","GED","Student-t"
500,"ged","ged",521,1000,0.521,"BIC","GED","GED"
500,"ged","sstd",2,1000,0.002,"BIC","GED","Skewed Student-t"
500,"ged","sged",6,1000,0.006,"BIC","GED","Skewed GED"
500,"sstd","norm",0,0,NA,"BIC","Skewed Student-t","Normal"
500,"sstd","std",0,0,NA,"BIC","Skewed Student-t","Student-t"
500,"sstd","ged",0,0,NA,"BIC","Skewed Student-t","GED"
500,"sstd","sstd",649,1000,0.649,"BIC","Skewed Student-t","Skewed Student-t"
500,"sstd","sged",351,1000,0.351,"BIC","Skewed Student-t","Skewed GED"
500,"sged","norm",0,0,NA,"BIC","Skewed GED","Normal"
500,"sged","std",0,0,NA,"BIC","Skewed GED","Student-t"
500,"sged","ged",0,0,NA,"BIC","Skewed GED","GED"
500,"sged","sstd",196,1000,0.196,"BIC","Skewed GED","Skewed Student-t"
500,"sged","sged",804,1000,0.804,"BIC","Skewed GED","Skewed GED"
1000,"norm","norm",988,1000,0.988,"BIC","Normal","Normal"
1000,"norm","std",2,1000,0.002,"BIC","Normal","Student-t"
1000,"norm","ged",10,1000,0.01,"BIC","Normal","GED"
1000,"norm","sstd",0,0,NA,"BIC","Normal","Skewed Student-t"
1000,"norm","sged",0,0,NA,"BIC","Normal","Skewed GED"
1000,"std","norm",36,1000,0.036,"BIC","Student-t","Normal"
1000,"std","std",750,1000,0.75,"BIC","Student-t","Student-t"
1000,"std","ged",206,1000,0.206,"BIC","Student-t","GED"
1000,"std","sstd",6,1000,0.006,"BIC","Student-t","Skewed Student-t"
1000,"std","sged",2,1000,0.002,"BIC","Student-t","Skewed GED"
1000,"ged","norm",59,1000,0.059,"BIC","GED","Normal"
1000,"ged","std",152,1000,0.152,"BIC","GED","Student-t"
1000,"ged","ged",782,1000,0.782,"BIC","GED","GED"
1000,"ged","sstd",0,0,NA,"BIC","GED","Skewed Student-t"
1000,"ged","sged",7,1000,0.007,"BIC","GED","Skewed GED"
1000,"sstd","norm",0,0,NA,"BIC","Skewed Student-t","Normal"
1000,"sstd","std",0,0,NA,"BIC","Skewed Student-t","Student-t"
1000,"sstd","ged",0,0,NA,"BIC","Skewed Student-t","GED"
1000,"sstd","sstd",777,1000,0.777,"BIC","Skewed Student-t","Skewed Student-t"
1000,"sstd","sged",223,1000,0.223,"BIC","Skewed Student-t","Skewed GED"
1000,"sged","norm",0,0,NA,"BIC","Skewed GED","Normal"
1000,"sged","std",0,0,NA,"BIC","Skewed GED","Student-t"
1000,"sged","ged",0,0,NA,"BIC","Skewed GED","GED"
1000,"sged","sstd",162,1000,0.162,"BIC","Skewed GED","Skewed Student-t"
1000,"sged","sged",838,1000,0.838,"BIC","Skewed GED","Skewed GED"
2000,"norm","norm",991,1000,0.991,"BIC","Normal","Normal"
2000,"norm","std",0,0,NA,"BIC","Normal","Student-t"
2000,"norm","ged",9,1000,0.009,"BIC","Normal","GED"
2000,"norm","sstd",0,0,NA,"BIC","Normal","Skewed Student-t"
2000,"norm","sged",0,0,NA,"BIC","Normal","Skewed GED"
2000,"std","norm",1,1000,0.001,"BIC","Student-t","Normal"
2000,"std","std",867,1000,0.867,"BIC","Student-t","Student-t"
2000,"std","ged",127,1000,0.127,"BIC","Student-t","GED"
2000,"std","sstd",4,1000,0.004,"BIC","Student-t","Skewed Student-t"
2000,"std","sged",1,1000,0.001,"BIC","Student-t","Skewed GED"
2000,"ged","norm",1,1000,0.001,"BIC","GED","Normal"
2000,"ged","std",93,1000,0.093,"BIC","GED","Student-t"
2000,"ged","ged",903,1000,0.903,"BIC","GED","GED"
2000,"ged","sstd",0,0,NA,"BIC","GED","Skewed Student-t"
2000,"ged","sged",3,1000,0.003,"BIC","GED","Skewed GED"
2000,"sstd","norm",0,0,NA,"BIC","Skewed Student-t","Normal"
2000,"sstd","std",0,0,NA,"BIC","Skewed Student-t","Student-t"
2000,"sstd","ged",0,0,NA,"BIC","Skewed Student-t","GED"
2000,"sstd","sstd",881,1000,0.881,"BIC","Skewed Student-t","Skewed Student-t"
2000,"sstd","sged",119,1000,0.119,"BIC","Skewed Student-t","Skewed GED"
2000,"sged","norm",0,0,NA,"BIC","Skewed GED","Normal"
2000,"sged","std",0,0,NA,"BIC","Skewed GED","Student-t"
2000,"sged","ged",0,0,NA,"BIC","Skewed GED","GED"
2000,"sged","sstd",77,1000,0.077,"BIC","Skewed GED","Skewed Student-t"
2000,"sged","sged",923,1000,0.923,"BIC","Skewed GED","Skewed GED"
