"n","true_dist","assumed_dist","parameter","true_value","mean_estimate","bias","mean_abs_error","parameter_mse","parameter_rmse","true_dist_label","assumed_dist_label"
500,"ged","ged","alpha1",0.15,0.158610512673685,0.00861051267368527,0.0403913252385078,0.00264713817894512,0.0514503467329922,"GED","GED"
500,"ged","ged","beta1",0.9,0.884013983415861,-0.0159860165841395,0.0453476065723794,0.00525677418169017,0.0725036149560156,"GED","GED"
500,"ged","ged","gamma1",0.1,0.0729408031819,-0.0270591968181,0.0626443535960032,0.0064898895597794,0.0805598507929316,"GED","GED"
500,"ged","ged","mu",0,0.00100108077099628,0.00100108077099628,0.0204734127203148,0.000660234510688316,0.0256950289100502,"GED","GED"
500,"ged","ged","omega",-0.1,-0.117513351071454,-0.0175133510714544,0.0469495788326489,0.0058252193766948,0.0763231247833499,"GED","GED"
500,"ged","ged","shape",1.5,1.52896447995152,0.0289644799515221,0.118910319492596,0.0226997861307002,0.150664481981322,"GED","GED"
500,"ged","ged","skew",NA,NA,NA,NA,NA,NA,"GED","GED"
500,"ged","norm","alpha1",0.15,0.158952111378317,0.00895211137831662,0.0404691807796514,0.00266847637702004,0.0516572974227266,"GED","Normal"
500,"ged","norm","beta1",0.9,0.883220169610601,-0.0167798303893989,0.0464739661018951,0.00606953772336252,0.0779072379395042,"GED","Normal"
500,"ged","norm","gamma1",0.1,0.0744426875840287,-0.0255573124159713,0.0630642177468236,0.00661012701745827,0.0813026876398208,"GED","Normal"
500,"ged","norm","mu",0,0.00104671823027222,0.00104671823027222,0.0212558803402942,0.000704141126056182,0.0265356576337611,"GED","Normal"
500,"ged","norm","omega",-0.1,-0.116192614092612,-0.0161926140926116,0.047458756681188,0.00641847382115117,0.0801153781814152,"GED","Normal"
500,"ged","norm","shape",1.5,NA,NA,NA,NA,NA,"GED","Normal"
500,"ged","norm","skew",NA,NA,NA,NA,NA,NA,"GED","Normal"
500,"ged","sged","alpha1",0.15,0.158622645480189,0.00862264548018887,0.0405895037389444,0.00267581886278338,0.0517283178035336,"GED","Skewed GED"
500,"ged","sged","beta1",0.9,0.883768394004675,-0.0162316059953246,0.0459880291526463,0.00584847897917857,0.0764753488333238,"GED","Skewed GED"
500,"ged","sged","gamma1",0.1,0.0729786909952404,-0.0270213090047596,0.0623082789596277,0.00641592834774656,0.0800994903089062,"GED","Skewed GED"
500,"ged","sged","mu",0,0.00105787386499153,0.00105787386499153,0.0213731627708123,0.000715570503303131,0.0267501495940328,"GED","Skewed GED"
500,"ged","sged","omega",-0.1,-0.1177820844641,-0.0177820844640998,0.0477896642735703,0.00643725288390436,0.0802324926940723,"GED","Skewed GED"
