"n","true_dist","assumed_dist","selected_count","selected_total","selection_rate","criterion","true_dist_label","assumed_dist_label"
100,"norm","norm",3903,5000,0.7806,"BIC","Normal","Normal"
100,"norm","ged",476,5000,0.0952,"BIC","Normal","GED"
100,"norm","sged",352,5000,0.0704,"BIC","Normal","Skewed GED"
100,"norm","std",157,5000,0.0314,"BIC","Normal","Student-t"
100,"norm","sstd",112,5000,0.0224,"BIC","Normal","Skewed Student-t"
100,"ged","norm",3883,5000,0.7766,"BIC","GED","Normal"
100,"ged","ged",312,5000,0.0624,"BIC","GED","GED"
100,"ged","sged",224,5000,0.0448,"BIC","GED","Skewed GED"
100,"ged","std",423,5000,0.0846,"BIC","GED","Student-t"
100,"ged","sstd",158,5000,0.0316,"BIC","GED","Skewed Student-t"
100,"sged","norm",701,5000,0.1402,"BIC","Skewed GED","Normal"
100,"sged","ged",80,5000,0.016,"BIC","Skewed GED","GED"
100,"sged","sged",2751,5000,0.5502,"BIC","Skewed GED","Skewed GED"
100,"sged","std",77,5000,0.0154,"BIC","Skewed GED","Student-t"
100,"sged","sstd",1391,5000,0.2782,"BIC","Skewed GED","Skewed Student-t"
100,"std","norm",3770,5000,0.754,"BIC","Student-t","Normal"
100,"std","ged",249,5000,0.0498,"BIC","Student-t","GED"
100,"std","sged",214,5000,0.0428,"BIC","Student-t","Skewed GED"
100,"std","std",537,5000,0.1074,"BIC","Student-t","Student-t"
100,"std","sstd",230,5000,0.046,"BIC","Student-t","Skewed Student-t"
100,"sstd","norm",798,5000,0.1596,"BIC","Skewed Student-t","Normal"
100,"sstd","ged",107,5000,0.0214,"BIC","Skewed Student-t","GED"
100,"sstd","sged",2304,5000,0.4608,"BIC","Skewed Student-t","Skewed GED"
100,"sstd","std",77,5000,0.0154,"BIC","Skewed Student-t","Student-t"
100,"sstd","sstd",1714,5000,0.3428,"BIC","Skewed Student-t","Skewed Student-t"
1000,"norm","norm",4941,5000,0.9882,"BIC","Normal","Normal"
1000,"norm","ged",49,5000,0.0098,"BIC","Normal","GED"
1000,"norm","sged",1,5000,2e-04,"BIC","Normal","Skewed GED"
1000,"norm","std",9,5000,0.0018,"BIC","Normal","Student-t"
1000,"norm","sstd",0,0,NA,"BIC","Normal","Skewed Student-t"
1000,"ged","norm",336,5000,0.0672,"BIC","GED","Normal"
1000,"ged","ged",3897,5000,0.7794,"BIC","GED","GED"
1000,"ged","sged",35,5000,0.007,"BIC","GED","Skewed GED"
1000,"ged","std",729,5000,0.1458,"BIC","GED","Student-t"
1000,"ged","sstd",3,5000,6e-04,"BIC","GED","Skewed Student-t"
1000,"sged","norm",0,0,NA,"BIC","Skewed GED","Normal"
1000,"sged","ged",0,0,NA,"BIC","Skewed GED","GED"
1000,"sged","sged",4254,5000,0.8508,"BIC","Skewed GED","Skewed GED"
1000,"sged","std",0,0,NA,"BIC","Skewed GED","Student-t"
1000,"sged","sstd",746,5000,0.1492,"BIC","Skewed GED","Skewed Student-t"
1000,"std","norm",151,5000,0.0302,"BIC","Student-t","Normal"
1000,"std","ged",993,5000,0.1986,"BIC","Student-t","GED"
1000,"std","sged",20,5000,0.004,"BIC","Student-t","Skewed GED"
1000,"std","std",3794,5000,0.7588,"BIC","Student-t","Student-t"
1000,"std","sstd",42,5000,0.0084,"BIC","Student-t","Skewed Student-t"
1000,"sstd","norm",0,0,NA,"BIC","Skewed Student-t","Normal"
1000,"sstd","ged",0,0,NA,"BIC","Skewed Student-t","GED"
1000,"sstd","sged",1122,5000,0.2244,"BIC","Skewed Student-t","Skewed GED"
1000,"sstd","std",0,0,NA,"BIC","Skewed Student-t","Student-t"
