"n","assumed_dist","standard_error_omega","standard_error_alpha","standard_error_beta","standard_error_gamma","MSE_omega","MSE_alpha","MSE_beta","MSE_gamma","MAE_omega","MAE_alpha","MAE_beta","MAE_gamma","AIC","BIC"
100,"norm",0.0761137499344023,0.0578871115639155,0.0669623071070811,0.0822823480000235,0.0778506459952812,0.0260069250357072,0.0553191417323674,0.226214901652388,0.136506823089597,0.124485622687739,0.119154805044363,0.386674513206607,1.80485886763303,1.93511737693244
1000,"norm",0.0311095620751487,0.0283726313595091,0.0304513767046465,0.0373276828400305,0.00181555405031831,0.0011739469539761,0.001698420314391,0.00239054815191235,0.0295827746256767,0.0270952593971574,0.0288818655954926,0.0387957323331747,1.84086446043714,1.86540323683205
5000,"norm",0.0126280879914676,0.0124542975145415,0.0124978674270097,0.0168155832934549,0.000212738113983089,0.000209372933321642,0.000205432213109794,0.000387016752630963,0.0117082453147058,0.0116164792629065,0.0113382864975596,0.0155938106987457,1.83889860082927,1.84541579402068
8000,"norm",0.00977410226382416,0.00972632230210002,0.00964777111646638,0.0131023000797116,0.000135877581979649,0.000124733420325136,0.000124514143651908,0.000230940066802247,0.00935568070479233,0.00892089163208962,0.00880955768650118,0.0120941990953636,1.83872970401776,1.84309670203067
100,"ged",0.087523172108377,0.0664218308409052,0.0773832261806904,0.0928508789125706,0.0833820464049778,0.031784137216556,0.0622270966184804,0.225320726944596,0.142217909581899,0.129245914716453,0.12625672843513,0.383116279862778,1.81543878178657,1.97174899294586
1000,"ged",0.0361200365944886,0.0328246771404379,0.0350575565394775,0.043131565977577,0.00193491308684289,0.00114403791931559,0.00172917098589497,0.00232953387739922,0.0293633821119845,0.02670396223686,0.0284139796808462,0.0383191823258213,1.82368591830509,1.85313244997899
5000,"ged",0.0146695692698889,0.0144268762017827,0.0142986968028819,0.0189208993047051,0.000207942756583999,0.000203372376806052,0.000198683523318806,0.000372118539757575,0.0114226227686234,0.0114287653217306,0.0111440657049771,0.0153048058755136,1.81971684179346,1.82753747362316
8000,"ged",0.0115113429558784,0.0113913972652868,0.011225192068573,0.0148998264272827,0.000127399632178977,0.000120936285618359,0.000119434660581355,0.000224305663243656,0.00891179543683521,0.00876338647515423,0.0086460781302208,0.0119256858731041,1.81928450120348,1.82452489881897
100,"sged",0.0769587400901542,0.0599642706653881,0.0700442371830316,0.0838108844519496,0.0755916203586423,0.0338076213794621,0.056593659734793,0.24451271967359,0.136361119563126,0.142318743066411,0.120755696489948,0.400767398287321,1.81553940238185,1.99790131540102
1000,"sged",0.0361102003714711,0.0327758723180309,0.0350413399348116,0.0431342675528009,0.00194704498336749,0.00115130377828903,0.0017382555029419,0.00233758456245995,0.0294007073380897,0.0267503845480336,0.028478186980937,0.0384319509851719,1.82466918425041,1.85902347120329
5000,"sged",0.0146665441074805,0.0144202053534993,0.0142943786746546,0.0189183720664416,0.000208116175096541,0.000203382579693357,0.000198891915200311,0.000371844824592251,0.0114169154570299,0.0114327006199264,0.0111514888836391,0.0152964923658073,1.81991979392982,1.8290438643978
8000,"sged",0.0115190186582824,0.0114060259514746,0.0112297655603301,0.0149071468740052,0.00012755000324661,0.000120982121488458,0.000119506675606685,0.000224718755470979,0.00891735389945234,0.00877017012732641,0.00865093692556006,0.0119333609015265,1.81940732618119,1.82552112339927
100,"std",0.0965247678420481,0.0675882373320379,0.0824333905755528,0.0963410058499666,0.101958059911868,0.0375343148537295,0.0761166657038902,0.284254255900227,0.157814137908176,0.14287560975333,0.142040616840648,0.434644981622707,1.84823422670015,2.00454443785944
1000,"std",0.0351479368108142,0.0320616645971392,0.0342142562472472,0.0435530411778208,0.00195811078896968,0.00118308179847154,0.00180251374629905,0.00238879822924819,0.0295874767579856,0.0271348904786465,0.0289234269597157,0.0388325270008872,1.82673351393176,1.85618004560566
5000,"std",0.014460480784754,0.0142965707434595,0.0141815872711113,0.0190742941090399,0.000208749881276246,0.000209109504156877,0.000203751980581263,0.000379702392315068,0.0114848226078155,0.01157338786518,0.0112726985363041,0.0154756450706075,1.82274969552422,1.83057032735392
8000,"std",0.0113213831991508,0.0112994766860755,0.0110872792684609,0.0150169465752995,0.000127741300919487,0.000124652779746368,0.000121753405872297,0.000229967298706031,0.00896762199636122,0.00887998926547994,0.00874636145314246,0.0120943428424576,1.82230041177908,1.82754080939458
100,"sstd",0.098429838842574,0.0696152623246183,0.0849734706523739,0.0997347860514628,0.109401440647683,0.0547379317583758,0.0854318976456608,0.329449818115016,0.163865076534354,0.161912451636944,0.150838300127144,0.452749338409183,1.84444136510862,2.02680327812779
1000,"sstd",0.0356599250963333,0.0324271173049549,0.0347125600098177,0.0440366980992981,0.00202974774440741,0.00119038251183666,0.0018573508673034,0.00239960548535111,0.0297743743874917,0.0271894648403856,0.0291187898456851,0.0389530060939827,1.82782708076551,1.86218136771839
5000,"sstd",0.014651242869683,0.0144020769596728,0.0143515768172412,0.0191791369072405,0.000209007677729182,0.000209236555214128,0.00020400484847986,0.000379444245510676,0.0114848519762823,0.0115780705248757,0.0112817328322239,0.0154640592499569,1.82297603167603,1.83210010214401
8000,"sstd",0.0112996551629584,0.0112611201058782,0.0110616747314248,0.0149872343651928,0.000127845033561978,0.000124695440695561,0.00012177158367299,0.000230337838594842,0.00897152391777165,0.0088850892427822,0.00875032354893927,0.0121043879274077,1.82243873333243,1.82855253055051
