"n","assumed_dist","standard_error_omega","standard_error_alpha","standard_error_beta","standard_error_gamma","MSE_omega","MSE_alpha","MSE_beta","MSE_gamma","MAE_omega","MAE_alpha","MAE_beta","MAE_gamma","AIC","BIC"
100,"norm",0.649673726602316,25.7924489860842,0.408480514408613,10.2023187830326,0.0758584068763631,0.0570091790615821,0.0509012508547901,0.262847517179977,0.136962990541053,0.145614045991651,0.116324683840359,0.431296790862316,1.7836696841457,1.9139281934451
1000,"norm",0.0360878592403519,0.0314956428436882,0.0352455230117705,0.0415178535770431,0.00465834570141952,0.00216922332365929,0.00461675638124366,0.00447593056915815,0.0430432943332886,0.0365745434930393,0.0424351774457224,0.0527477941868379,1.83742415247627,1.86196292887118
5000,"norm",0.0157553774516509,0.0145782678255123,0.015643937310134,0.0193414341288513,0.000451140341474094,0.000386867677400312,0.000446621469007709,0.000698014490415163,0.0166641012995816,0.0156078914501527,0.0164274668727446,0.0210714283099152,1.8383551690317,1.84487236222312
8000,"norm",0.0122653007820196,0.0115018540412653,0.0121785795159985,0.0152585800704849,0.000282934499253602,0.000236357694050058,0.000278528828671632,0.00042223212173743,0.0132953862840311,0.0122150833889557,0.0130598316771969,0.0164631187384358,1.83810266602851,1.84246966404143
100,"ged",0.0790741884745617,0.0652513350786219,0.0671908160784802,0.0918085357102697,0.0865089676106564,0.0426193220815693,0.0606927633807397,0.3168071664777,0.150151274722905,0.153610693128357,0.127340049944092,0.441791560831137,1.78109399144844,1.93740420260772
1000,"ged",0.0419120276022579,0.0396284726736617,0.0428418845454737,0.0507798771417464,0.0037770096383154,0.00254002932001552,0.00423892963945178,0.00431162773572123,0.0409908595235111,0.0390312554843589,0.0412881106082975,0.0515831189230397,1.81433333075898,1.84377986243288
5000,"ged",0.0192925279407133,0.0190949777980537,0.0201688077065113,0.0241142211044929,0.000436735193238581,0.000517055505628624,0.000519226440850888,0.000668543895609083,0.0169838896660817,0.018070453640774,0.0172977561129785,0.020583007315341,1.81270965901743,1.82053029084713
8000,"ged",0.0148572065253986,0.0150605618585799,0.0155476037599051,0.0189527781960665,0.000294282254279654,0.000361571713646585,0.000348260242719164,0.000413086558199689,0.0140084727630048,0.0151146677294626,0.0144456882092797,0.0161948709107632,1.81213586441237,1.81737626202787
100,"sged",0.0483015764320626,0.0366350356346999,0.0433465282063136,0.0554317662557359,0.0640498353682212,0.0251905621106666,0.0491870540677508,0.175218510620694,0.125799879345296,0.119004949621768,0.115478487021682,0.27836551066809,1.61431975796099,1.79668167098016
1000,"sged",0.0355694942169395,0.0283915183757706,0.0345076707178156,0.0363984152864421,0.00120282861938513,0.000813183937786937,0.00114027205002475,0.00151505104824325,0.025359635885586,0.0225503151269955,0.0246766874885437,0.0311240333715466,1.61549234693594,1.64984663388882
5000,"sged",0.0153009066503428,0.013206257729093,0.0148732976828889,0.0164025362315639,0.000166873476464487,0.000142520363834641,0.000160277235709678,0.00025660633759961,0.0100953454111168,0.00952781530850233,0.00991900979409713,0.0127658979288624,1.61106150676098,1.62018557722897
8000,"sged",0.0112783736051967,0.0100889818115348,0.0109746050331986,0.0127807870639374,9.94439935687432e-05,9.02625967978378e-05,9.53509964180541e-05,0.000156114553731348,0.00790543010111627,0.00758929321626939,0.00774636416641991,0.00998389079118714,1.6102432032183,1.61635700043638
100,"std",0.0939839357656053,0.0771068583746717,0.0748367228164118,0.104684045434416,0.101600496445704,0.0621664578004525,0.0775922591568686,0.387446356131881,0.16165885184973,0.170154273919112,0.143147424794878,0.502086398684122,1.77779767852888,1.93410788968816
1000,"std",0.042402119022873,0.041434021325012,0.0433198128619171,0.0541250003200836,0.0028800958356034,0.00235960762117801,0.00323312462493066,0.00369885478252277,0.0377052198687331,0.0374671714453593,0.0376576326958582,0.0478965337560563,1.79645390169868,1.82590043337257
5000,"std",0.018533538883356,0.0192466023529653,0.0192315142212313,0.0245191182724324,0.00038754556295974,0.000516631443078657,0.00043959669410877,0.000591321982717885,0.0160575628917577,0.0181756041806127,0.0160227105341573,0.0193623745241002,1.79334730576088,1.80116793759058
8000,"std",0.0142761219490497,0.0150677085849538,0.0147997434801235,0.0193482392449129,0.00026210947422713,0.000381411515177368,0.00028961329067792,0.000374518019454267,0.0132675209429238,0.0157251917471506,0.0132307141967878,0.0153799744546664,1.79270144342826,1.79794184104376
100,"sstd",0.0863786196054364,0.0534616579072935,0.0716263438020594,0.0800138164961596,0.0878929225492378,0.0310631534751814,0.074355792214379,0.168985287507147,0.154832599858155,0.133181723647775,0.146003219287074,0.317954929718702,1.61743207793228,1.79979399095144
1000,"sstd",0.0325390637411003,0.0275195141163661,0.0311763542441987,0.0373288819448026,0.00124622806795439,0.000813896611486649,0.00114930043349511,0.00153851070641837,0.0258061433348639,0.0225779541755699,0.0248482741936295,0.0313765875417428,1.61877084252688,1.65312512947975
5000,"sstd",0.0128736977355588,0.0118799265738934,0.0123717816932849,0.0159362068694839,0.000176854628680231,0.000145080451930039,0.000162917328067661,0.000260469994482594,0.0103453092613398,0.00961337801365326,0.0100322400862976,0.0128935424477848,1.61408234517202,1.62320641564
8000,"sstd",0.0101120152879067,0.00938308494500977,0.00971846500100088,0.0125527579341345,0.000105473328288801,9.18315833284863e-05,9.60052124009915e-05,0.000159736335488268,0.0081018590384159,0.00766241887393428,0.00778323344395713,0.0101041155063245,1.61325665381252,1.6193704510306
