"n","assumed_dist","standard_error_omega","standard_error_alpha","standard_error_beta","standard_error_gamma","MSE_omega","MSE_alpha","MSE_beta","MSE_gamma","MAE_omega","MAE_alpha","MAE_beta","MAE_gamma","AIC","BIC"
100,"norm",0.0745053856195717,0.061764962744654,0.0606216467245852,0.0874331286928342,0.0858273400918752,0.0427559085230687,0.0602160062760622,0.270412026943899,0.148151447821749,0.151964191842589,0.124971085033042,0.432907378053277,1.76426950574427,1.89452801504367
1000,"norm",0.0363870249166873,0.031339588101661,0.0353203990660093,0.0407296054921978,0.00722846952424583,0.00314162407837323,0.00711022142875446,0.00625068847849526,0.0512071123237841,0.0432950951361632,0.0504567426221118,0.0610572561172024,1.83452507002117,1.85906384641608
5000,"norm",0.0158534407804099,0.0146050476066971,0.0157969666074685,0.0189732482928238,0.000682692541981839,0.000600528625727238,0.000687826907577017,0.000998849470312068,0.0202755093687042,0.0193285633223689,0.0200041902063671,0.0250775153572294,1.83701998352087,1.84353717671229
8000,"norm",0.0125095349116262,0.0116370213464352,0.0124638203277682,0.0150830825434276,0.000418292982804522,0.000365979821916788,0.000411903823645715,0.000638699498345721,0.0161421247217643,0.0150001913982838,0.0157823219908137,0.0198468905157476,1.83744295175228,1.84180994976519
100,"ged",0.0861941121869954,0.0721252629471612,0.071934028032239,0.100272878493787,0.0979052052926378,0.0462307583441312,0.0703395227126909,0.268138304723138,0.161896701086663,0.157140000058227,0.137763697797667,0.431162861489516,1.75083950728649,1.90714971844578
1000,"ged",0.0439792119520289,0.0409371727039258,0.0446003530781016,0.0517159743238655,0.00380769412224835,0.00286246199516605,0.00417888964833154,0.00481994766114765,0.0432774544343873,0.0414788714454592,0.0432302554310972,0.0542378889648796,1.79184297379609,1.82128950546998
5000,"ged",0.0199963144146317,0.0198200762070011,0.0207934844272436,0.0244040254884549,0.000492745829970611,0.000609038813326758,0.000605686426360396,0.000743765937937294,0.0179125183750217,0.0195729995967204,0.0187160030553437,0.0216095259233042,1.78991252217564,1.79773315400534
8000,"ged",0.0162042478796795,0.0162646975584196,0.0169380835637522,0.0197853669987662,0.000329465957442764,0.000420026696595033,0.000403242700163544,0.00048037401025912,0.0147842575088259,0.0161603429090171,0.0155401244340564,0.0173008720189629,1.79003033698648,1.79527073460198
100,"sged",0.0458994769437652,0.0354118836336516,0.0405357299957121,0.0504502252116217,0.069803744073814,0.0483614449956916,0.0525461665977421,0.153273051270902,0.131058926942723,0.123264180093516,0.11936082672787,0.27672542369569,1.60021007826368,1.78257199128285
1000,"sged",0.0346676276628679,0.0273728304576353,0.0333505428129249,0.0356837428899369,0.00132712051494538,0.000838676750412948,0.001216168313027,0.00158211200817615,0.0263876738560759,0.0230203936730331,0.025347617201591,0.0315289622651543,1.6046912028046,1.63904548975748
5000,"sged",0.0156709162268842,0.0133918489145236,0.0152148725691519,0.0161786948077987,0.000182955526697472,0.000154002787159217,0.000173977156000221,0.000269241512582884,0.0107125716205672,0.00985686555905235,0.0103933937420712,0.0130805461662581,1.60049896408093,1.60962303454891
8000,"sged",0.0118476238150236,0.010388753700127,0.0115222940628252,0.0127326426077541,0.000112344954020631,9.46408469732809e-05,0.000104517865693495,0.000163477649583165,0.00840431353734596,0.00775021534266159,0.00807330594963069,0.0102225846951147,1.60043452285507,1.60654832007315
100,"std",0.103590076414107,0.0862142398662344,0.0803645510812462,0.112745674665001,0.106334137442799,0.0669168356462057,0.0790586647026906,0.395248150770753,0.167652177445159,0.174218160513866,0.148452606130845,0.497785627524182,1.74432736919575,1.90063758035503
1000,"std",0.0437871065176987,0.0420560135452672,0.0441759446745685,0.0542251649936606,0.00290394097678479,0.0023578778293321,0.00321912507138703,0.00383117230053938,0.0382572995222965,0.037277617362766,0.0382737397679624,0.0482832341176757,1.76546016145358,1.79490669312747
5000,"std",0.0190654335538973,0.0195162682058221,0.0195350064086308,0.0243105149884299,0.000375375355067056,0.000530866031302792,0.000452043322574487,0.000583063507470026,0.0156699379579236,0.0183558250023023,0.0163741517875937,0.0191084970485842,1.76170774077565,1.76952837260535
8000,"std",0.0149021298338022,0.0154359223885686,0.0152533864733576,0.0193329418397288,0.000262256796297088,0.000390848156301128,0.000309025481633626,0.00038661628917309,0.0131562956960111,0.0158208979999498,0.013685850540897,0.015541110690292,1.76171896531272,1.76695936292822
100,"sstd",0.0844870179286355,0.0577714494621023,0.0698079783633281,0.0847143495077328,0.1106436493984,0.0514849879627168,0.0781464880109868,0.18006698235978,0.163149006170512,0.141292967667997,0.147832251919095,0.317256157189907,1.61956147228691,1.80192338530608
1000,"sstd",0.0327950322865483,0.0277482965157839,0.0314450437208588,0.0367719604269901,0.00126448332741812,0.00081376092668244,0.00115346564833179,0.00151856891922094,0.0258063060422171,0.0226780480019432,0.0247815493615829,0.030858870117313,1.60098118146528,1.63533546841815
5000,"sstd",0.0129106136962011,0.0120739391918332,0.0124500267653962,0.0157772187069863,0.000174973347412303,0.000147842417577002,0.000164902470371901,0.000257418919542405,0.0104224307036765,0.00967432033546154,0.0101124341648656,0.0128064980751668,1.59611965138929,1.60524372185728
8000,"sstd",0.010163841700901,0.00954518062386359,0.00980630038059474,0.0124594987245049,0.000108636790853425,9.10142958795733e-05,0.000100194219322951,0.000156624756950216,0.00822830172022629,0.00759403424270946,0.00792120707076154,0.0100097104120381,1.59599324861132,1.6021070458294
