"n","assumed_dist","standard_error_omega","standard_error_alpha","standard_error_beta","standard_error_gamma","MSE_omega","MSE_alpha","MSE_beta","MSE_gamma","MAE_omega","MAE_alpha","MAE_beta","MAE_gamma","AIC","BIC"
100,"norm",0.0794853163332678,0.0596670737669587,0.0676135629380256,0.0855390031432866,0.0852339408688897,0.0284374339043226,0.060478221907634,0.225041164785969,0.144372905869626,0.130410887426586,0.12296782771886,0.384586345284893,1.79104602050863,1.92130452980804
1000,"norm",0.0314292696316845,0.0283118428745237,0.0305494103808285,0.0373629852222621,0.0026332517821291,0.00143298132564684,0.00249453959399672,0.0029244809201568,0.0331146636014081,0.0298494775252099,0.0321702955389097,0.0426047398959111,1.83713536838903,1.86167414478394
5000,"norm",0.0128716107518016,0.0125152325588751,0.0127234640735731,0.0167037376488866,0.000284593694642282,0.000268698092630472,0.000270701768533127,0.000461248904546494,0.0134296183944377,0.0130696921123173,0.0129140121543235,0.0170975831778092,1.83796516606601,1.84448235925742
8000,"norm",0.00986248911075183,0.00976964920763682,0.00974218559740401,0.0131183851719932,0.000170638642820142,0.000163629346931161,0.000158817002276015,0.000298689582951392,0.010444457187829,0.0101690231760752,0.00995470770049016,0.0138099671403599,1.83745266870465,1.84181966671756
100,"ged",0.091172497162534,0.0683248371785827,0.0782529350838528,0.0963043421735835,0.0939976835414195,0.0287736850591598,0.0665787899456078,0.207220030188397,0.151752091564926,0.13059345557584,0.130028422767871,0.373671384501954,1.79800437819583,1.95431458935512
1000,"ged",0.0366855584482344,0.0328939353926358,0.0353060613378292,0.0428639986252798,0.00191450156747561,0.00121090601564593,0.00170475989666258,0.00251467943795758,0.0306213598675993,0.0275522098788284,0.0291884956654612,0.0396560051585753,1.81407852730567,1.84352505897956
5000,"ged",0.0149166365117011,0.0145183544009768,0.0144587708966107,0.0189533996341347,0.00025098369976891,0.000224825213126635,0.000228428451102503,0.000388030901246634,0.0124412441939324,0.0119869958780967,0.0119147796007566,0.0157344203296196,1.812672547586,1.8204931794157
8000,"ged",0.0116775907799634,0.011456340704717,0.0113199603638185,0.0149234880283466,0.000146919625390171,0.000137194262025053,0.000132612193413721,0.000252523209541115,0.00954045414752469,0.0093412412657006,0.00913223009929556,0.01274206416409,1.81199325757776,1.81723365519325
100,"sged",0.0839354157104901,0.0613032689654352,0.0723351446448558,0.0873294420432817,0.0865639555555025,0.0426665521906979,0.0624973456111145,0.246109696297211,0.147058643535483,0.14357129143726,0.126701466729011,0.391790517384086,1.80010769836562,1.98246961138479
1000,"sged",0.0363523470787015,0.0327318871376209,0.0350059212561518,0.0427263648907789,0.0019358523206145,0.00121186171392279,0.0017267696543062,0.00252637901324359,0.0307348793757125,0.0275852731863584,0.0292995039561665,0.0397139663197861,1.814799654576,1.84915394152888
5000,"sged",0.0149007597289589,0.0145085318786829,0.014440919437196,0.0189255703502687,0.000251492829387788,0.00022485749609205,0.00022847696822889,0.000388229405782515,0.0124466150005306,0.0119862389906561,0.0119138279191905,0.0157312487581429,1.81281999148543,1.82194406195341
8000,"sged",0.0116842445045546,0.0114573160285594,0.0113212666455596,0.0149301112734933,0.000146861257194558,0.000137361243023432,0.000132685128252644,0.000252676697265555,0.00953284442962543,0.00934767744881817,0.00913313383414826,0.012744734976889,1.81208044568748,1.81819424290556
100,"std",0.0994892238971154,0.0694766407599709,0.0832428286518039,0.0972245443695077,0.110000123985882,0.0357260847557129,0.0761778458161053,0.28582310682324,0.164154497043452,0.141623477984316,0.142163724779501,0.425769487758458,1.80275770403899,1.95906791519828
1000,"std",0.0360083880327396,0.032474544669533,0.0346278832276266,0.0440776198230183,0.00178358918195557,0.00115803232866328,0.0016286134341923,0.00239913007847254,0.0297371139816669,0.0268942545327882,0.0284901148492662,0.0387335023434139,1.81023789510024,1.83968442677413
5000,"std",0.0148238902586231,0.0145168272497304,0.0144045319011978,0.0193156194764049,0.00023477633381702,0.000213195063160386,0.000217219121726336,0.000370645812127538,0.0120138014746636,0.0116268942703754,0.0115835352404648,0.0154088649896384,1.80828020917278,1.81610084100248
8000,"std",0.0115321758734701,0.0113610095310964,0.0111925665568518,0.0152101271262503,0.000136945596262229,0.000131333755301781,0.000125570351217668,0.000240827583838469,0.00921907079225319,0.00913001931250585,0.00887998059044097,0.0124601260065978,1.80754500052087,1.81278539813637
100,"sstd",0.103332294694255,0.0742182510121501,0.0876818451549263,0.103517707648831,0.119707507921419,0.0620912629058473,0.0876202690632166,0.321720126885647,0.173233687442109,0.163320925921747,0.153687117391498,0.443004156555761,1.82404517812611,2.00640709114527
1000,"sstd",0.0361888171211971,0.0325955916167394,0.0348497814250578,0.0441682838736875,0.00188253392838768,0.0011648108950815,0.00173693000334032,0.00240985408657676,0.0300294522706018,0.026975822320453,0.0287808099981147,0.0387965077979424,1.81121008600354,1.84556437295641
5000,"sstd",0.0148711846904047,0.0145286701065017,0.0144570991860437,0.0194249237031046,0.000235354265206166,0.000213210466407706,0.000217216828738854,0.000370941114846716,0.012016160267362,0.0116313195944376,0.0115870611695386,0.0154101858942555,1.80848081657517,1.81760488704315
8000,"sstd",0.0115207629055844,0.011359006259639,0.0111793610906096,0.0151735352325696,0.000136903820478318,0.000131612228601933,0.000125671439811261,0.000241103792015451,0.00921703289691656,0.00914187071994857,0.00888500679243865,0.0124667251704733,1.80766711791403,1.81378091513211
