"n","true_dist","assumed_dist","parameter","true_value","mean_estimate","bias","mean_abs_error","parameter_mse","parameter_rmse","true_dist_label","assumed_dist_label"
100,"ged","ged","alpha1",0.15,0.186619263825241,0.0366192638252406,0.129245914716453,0.031784137216556,0.178281062417061,"GED","GED"
100,"ged","ged","beta1",0.9,0.814414931712759,-0.0855850682872407,0.12625672843513,0.0622270966184804,0.249453596122566,"GED","GED"
100,"ged","ged","gamma1",0.1,-0.193355552959013,-0.293355552959013,0.383116279862778,0.225320726944596,0.47467960451719,"GED","GED"
100,"ged","ged","mu",0,0.0113721730470286,0.0113721730470286,0.0564675812896019,0.00527681196663035,0.0726416682533541,"GED","GED"
100,"ged","ged","omega",-0.1,-0.202508866267327,-0.102508866267327,0.142217909581899,0.0833820464049778,0.288759495783217,"GED","GED"
100,"ged","ged","shape",1.5,2.01806403273609,0.518064032736088,0.625995677837519,4.21675984427813,2.05347506541427,"GED","GED"
100,"ged","ged","skew",NA,NA,NA,NA,NA,NA,"GED","GED"
100,"ged","norm","alpha1",0.15,0.182110823156161,0.0321108231561615,0.124485622687739,0.0260069250357072,0.161266627160449,"GED","Normal"
100,"ged","norm","beta1",0.9,0.822203336581551,-0.0777966634184488,0.119154805044363,0.0553191417323674,0.235200216267688,"GED","Normal"
100,"ged","norm","gamma1",0.1,-0.202246295819189,-0.302246295819189,0.386674513206607,0.226214901652388,0.475620543766129,"GED","Normal"
100,"ged","norm","mu",0,0.0121068460316674,0.0121068460316674,0.0573756485184513,0.00544284150834137,0.0737756159468789,"GED","Normal"
100,"ged","norm","omega",-0.1,-0.196714795846875,-0.0967147958468752,0.136506823089597,0.0778506459952812,0.279017286194388,"GED","Normal"
100,"ged","norm","shape",1.5,NA,NA,NA,NA,NA,"GED","Normal"
100,"ged","norm","skew",NA,NA,NA,NA,NA,NA,"GED","Normal"
100,"ged","sged","alpha1",0.15,0.188104244283215,0.0381042442832153,0.142318743066411,0.0338076213794621,0.18386848935982,"GED","Skewed GED"
100,"ged","sged","beta1",0.9,0.818082977504239,-0.0819170224957608,0.120755696489948,0.056593659734793,0.237894219632998,"GED","Skewed GED"
100,"ged","sged","gamma1",0.1,-0.211783779605404,-0.311783779605403,0.400767398287321,0.24451271967359,0.494482274377545,"GED","Skewed GED"
100,"ged","sged","mu",0,0.0137704260823588,0.0137704260823588,0.0620747821893222,0.00643887741960134,0.080242615981792,"GED","Skewed GED"
100,"ged","sged","omega",-0.1,-0.196212799289151,-0.0962127992891512,0.136361119563126,0.0755916203586423,0.274939303044585,"GED","Skewed GED"
100,"ged","sged","shape",1.5,1.97349661827884,0.473496618278842,0.604554892904659,1.81325947384066,1.34657323374582,"GED","Skewed GED"
100,"ged","sged","skew",NA,1.26109188270947,NA,NA,NA,NA,"GED","Skewed GED"
100,"ged","sstd","alpha1",0.15,0.200882892399298,0.0508828923992981,0.161912451636944,0.0547379317583758,0.233961389460688,"GED","Skewed Student-t"
100,"ged","sstd","beta1",0.9,0.784507554240524,-0.115492445759476,0.150838300127144,0.0854318976456608,0.292287354577068,"GED","Skewed Student-t"
